What objects that satisfy the following statement : (subject : Nobel Prize in Physiology or Medicine | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : GMR Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : El Alami Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Verband der Anbieter von Telekommunikations- und Mehrwertdiensten | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Coca-Cola Amatil | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Okamoto Glass | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : BioNTech | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Vizas | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : LG Display | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : STP plast | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Somalia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Montenegro | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mozambique | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bulgaria | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Burundi | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Madagascar | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Hungary | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Italy | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lithuania | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iceland | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Benin | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : North Macedonia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : United Kingdom | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : India | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bahrain | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : France | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Morocco | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cameroon | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Hong Kong | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chad | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Papua New Guinea | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Libya | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : South Korea | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Switzerland | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Rwanda | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sudan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Côte d'Ivoire | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sri Lanka | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : United States | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Austria | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Senegal | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : South Sudan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Brazil | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kuwait | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Japan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Jamaica | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Guatemala | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Democratic Republic of the Congo | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : People's Republic of China | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Algeria | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Honduras | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saint Kitts and Nevis | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Laos | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : El Salvador | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Czech Republic | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Palau | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kyrgyzstan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mali | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Slovakia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Federated States of Micronesia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Slovenia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Trinidad and Tobago | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nauru | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : South Africa | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : San Marino | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Thailand | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Yemen | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Portugal | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kosovo | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iran | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Peru | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ghana | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sweden | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Egypt | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zambia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Azerbaijan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Angola | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ad Gerritsen | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mircea Costache II | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Kamal Əhmədov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Maciej Moszew | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Edward K. Reedy | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Viktor Savinykh | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jan Sandorski | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Hans-Otto Wilhelm | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Lajos Cs. Németh | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gerard J. Foschini | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ochir Kikeyev | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Virgil Ogășanu | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Margrethe II of Denmark | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bill Koch | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Luis Racionero | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Igor Romishevsky | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Margret Middell | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Johnnie Keyes | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Giorgio Moroder | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Francesc Vendrell i Vendrell | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gilles Villemure | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Anatoly Pavlenko | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Yury Yershov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Denis Law | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : James L. Brooks | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Alevtina Fedulova | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Giorgi Shkhvatsabaya | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Robby Müller | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Claudie Hunzinger | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Imre Kozma | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Lothar de Maizière | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bohumil Doležal | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bruce Chatwin | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : George A. Romero | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jean-Paul Proust | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gao Xingjian | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Tony Tan Keng Yam | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Sid Ganis | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vittorio Storaro | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Antonio Brack Egg | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Anatolii Bondarchuk | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Małgorzata Szpakowska | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mary Ellen Mark | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Krishnam Raju | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Petru Lucinschi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Yüksel Pazarkaya | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Veronica P. Kruglova | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Anatolii Khunov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : John Lewis | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Allen Lee | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Antanas Šurna | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Thelma Schoonmaker | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Oleg Konstantinovitsj Stoekalov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Alfred Znamierowski | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Kip S. Thorne | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Petr Hájek | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Herbie Hancock | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Brian David Josephson | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Friedel Rausch | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Helga Reidemeister | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jim Roberts | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Alexei Fridman | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Petru Gherghel | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Garth Fagan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : John L. Borling | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Dzintars Lācis | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mari Jose Urruzola | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Muhammad Yunus | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Maeve Binchy | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Frank Chin | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Nancy Pelosi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir Zhitlov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Katalin Sólyom | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Claude Piard | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Vladimir | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Haing S. Ngor | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Helmut Denk | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Don Mischer | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Betty Elizalde | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : J. H. Binford Peay III | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Peter Cartwright | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jean Ichbiah | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Murali Mohan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mária Pozsonec | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Anja Silja | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : William Owens | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Jacob Palis | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Michael Parks | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Angela Carter | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : József Tóth | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ted Green | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gennady Merkulov | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bob Mackie | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : James E. Livingston | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Gillian Shephard | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Anson Chan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Uladzimir Basalyha | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Robert Saladrigas | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Janusz Kochanowski | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Svetlana Svetlichnaya | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : CBS This Morning | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ellas, inocentes o culpables | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Queen of the Office | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : RocKwiz | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Agatha Christie's Partners in Crime | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ekipa | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Embassy | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Atletico Textila | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Best of the West | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ritas Welt | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : CityKids | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : I Tourta tis Mamas | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Animorphs | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bugs | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Szomszédok | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Dick Spanner, P.I. | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Divorce | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Baretta | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Splatalot! | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Balada por un amor | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : My Three Sons | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Take Two | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Seven Days | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Brandy: Special Delivery | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : A Discovery of Witches | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Sinhá Moça | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Legion | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Americans | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Mind Your Language | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Into the Unknown with Josh Bernstein | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Playhouse 90 | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Sarah G. Live | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Rat Patrol | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : An Ordinary woman | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Get Smart | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : NAV | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Dead Zone | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bro'Town | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The New Adventures of Jonny Quest | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Gaaner Oparey | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Farrington of the F.O. | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Portlandia | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Elephant Princess | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Pakistan Idol | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Innocent Man | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Devil's Dust | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Knightfall | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Amar Depois de Amar | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Life with Boys | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Lovecraft Country | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Night Visions | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Virginian | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Littlest Hobo | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Baby Daddy | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Choujinki Metalder | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Early Doors | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Don't Look Back: The Legend of Orpheus | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Fatih | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Jerry Springer Show | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Hazel | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Police Call | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Village: Achiara's Secret | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : 68 Whiskey | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Precision: The Measure of All Things | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Secularism - Religion and State | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Churchill's People | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Clueless | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Lorong Waktu | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Walking with Monsters | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : No 309 | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : WandaVision | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Pride and Prejudice | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Master's Sun | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Theo & Den Magiske Talisman | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Der Spatz vom Wallrafplatz | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Máximo corazón | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Fuoriclasse | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Fantasy Island | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Laverne & Shirley | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Stark Raving Mad | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Jo Gaillard | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Jessie | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Dance! La Fuerza del Corazón | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Take | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Love Marriage Ya Arranged Marriage | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Clash of the Dinosaurs | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Meet the Drug Lords: Inside the Real Narcos | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Homecoming | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Queen of Mystery | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Verbotene Liebe | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Edgemont | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Donna Leon | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Império | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Swallows and Amazons Forever! | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Flying Doctors | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Yancy Derringer | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Quiet Flows the Don | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Kaamelott | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Monster Math Squad | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Cho Show | relation : seriesHasNumberOfEpisodes | objects : ?)
